Вид тестирования - функциональное,,,,,,,,
 id тест-кейса,Название тест-кейса,Предусловия,Номер шага,Описание шага,ОР,Окружение,Статус,Ссылка на баг- репорт
t-1,Изменение имени в настройках профиля,"1. Перейти на clockify.me
",1,Кликнуть по аватарке профиля в верхнем правом углу ,"1. Справа в нижней части экрана, появилось сообщение ""Settings successfully saved""
2. Отправился PUT запрос settings, статус код 200 OK 
3.  В запросе присутствует x-auth-token
4. Имя пользователя изменилось",,,
,,,,,,,,
,,"2. Авторизоваться. Данные для авторизации:
email - whcxobdriqi@tmp-mail.ru
пароль Simple123456",2,"В раскрывшемся меню клинкнуть по кнопке ""Profile settings""",,,,
,,,,,,,,
,,,3,"Кликнуть по полю ""Name"" в профиле пользователя",,,,
,,,,,,,,
,,,4,"Ввести любые валидные символы в поле. Например ""Евгений""",,,,
,,3. Открыть DevTools ,,,,,,
,,,5,"Снять фокус с поля, кликом по свободному пространству на странице",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
id,b-1,,,,,,,
Заголовок,Не меняется имя в профиле пользователя,,,,,,,
Предусловие,"2. Авторизоваться. Данные для авторизации:
email - whcxobdriqi@tmp-mail.ru
пароль Simple123456",,,,,,,
Шаги воспроизведения,"1. Кликнуть по аватарке профиля в верхнем правом углу 
2. В раскрывшемся меню клинкнуть по кнопке ""Profile settings""
3. Кликнуть по полю ""Name"" в профиле пользователя
4. Ввести любые валидные символы в поле. Например ""Евгений""
5. Снять фокус с поля, кликом по свободному пространству на странице
",,,,,,,
ОР,"1. Справа в нижней части экрана, появилось сообщение ""Settings successfully saved""
2. Отправился PUT запрос settings, статус код 200 OK 
3.  В запросе присутствует x-auth-token
4. Имя пользователя изменилось",,,,,,,
ФР,"1. Справа в нижней части экрана, не появилось сообщение ""Settings successfully saved""
2. Отправился PUT запрос settings, статус код 500 Internal Server Error
3. В запросе не передается x-auth-token
4. Имя пользователя не изменилось""",,,,,,,
Окружение,Windows 10 x64 google chrome 106.0.5249.119,,,,,,,
Приоритет,Незначительный,,,,,,,
